Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,C,activation,alpha,batch_size,beta_1,beta_2,ccp_alpha,class_weight,criterion,dual,early_stopping,epsilon,fit_intercept,hidden_layer_sizes,intercept_scaling,l1_ratio,learning_rate,learning_rate_init,max_depth,max_features,max_fun,max_iter,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,momentum,multi_class,n_iter_no_change,n_jobs,nesterovs_momentum,penalty,power_t,random_state,shuffle,solver,splitter,tol,validation_fraction,verbose,warm_start,accuracy_score_X_test,training_accuracy_score,training_f1_score,training_log_loss,training_precision_score,training_recall_score,training_roc_auc_score,training_score,estimator_name,estimator_class
2022-11-28 21:48:38,13.5s,fc5db7adb70340dbb048ac6c607530fa,,LOCAL,c:\ProgramData\Anaconda3\lib\site-packages\ipykernel_launcher.py,Administrator,FINISHED,1.0,,,,,,,None,,False,,,True,,1,None,,,,,,150,,,,,,,auto,,None,,l2,,42,,lbfgs,,0.0001,,0,False,0.9084821428571429,0.8955357142857143,0.8844207092255326,0.2523838651670329,0.8859491357974996,0.8955357142857143,0.9068557533411665,0.8955357142857143,LogisticRegression,sklearn.linear_model._logistic.LogisticRegression
2022-11-23 23:08:20,14.0s,5097bdf0fb044bbb91f0aee079961a25,,LOCAL,c:\ProgramData\Anaconda3\lib\site-packages\ipykernel_launcher.py,Administrator,FINISHED,1.0,,,,,,,None,,False,,,True,,1,None,,,,,,150,,,,,,,auto,,None,,l2,,42,,lbfgs,,0.0001,,0,False,0.9084821428571429,0.8955357142857143,0.8844207092255326,0.2523838651670329,0.8859491357974996,0.8955357142857143,0.9068557533411665,0.8955357142857143,LogisticRegression,sklearn.linear_model._logistic.LogisticRegression
2022-11-23 23:03:34,14.5s,75263e1799c84251b7e0efb7a1c64878,,LOCAL,c:\ProgramData\Anaconda3\lib\site-packages\ipykernel_launcher.py,Administrator,FINISHED,1.0,,,,,,,None,,False,,,True,,1,None,,,,,,250,,,,,,,auto,,None,,l2,,42,,lbfgs,,0.0001,,0,False,0.9084821428571429,0.8955357142857143,0.8844207092255326,0.2523838651670329,0.8859491357974996,0.8955357142857143,0.9068557533411665,0.8955357142857143,LogisticRegression,sklearn.linear_model._logistic.LogisticRegression
2022-11-23 23:02:21,15.1s,61163cf814e34c769ff40319ddcbb9cd,,LOCAL,c:\ProgramData\Anaconda3\lib\site-packages\ipykernel_launcher.py,Administrator,FINISHED,1.0,,,,,,,None,,False,,,True,,1,None,,,,,,200,,,,,,,auto,,None,,l2,,42,,newton-cg,,0.0001,,0,False,0.9084821428571429,0.8955357142857143,0.8844207092255326,0.25238384292727534,0.8859491357974996,0.8955357142857143,0.9068667491878782,0.8955357142857143,LogisticRegression,sklearn.linear_model._logistic.LogisticRegression
2022-11-23 23:00:15,15.3s,1f032cf00f5f42ffa39a811425e7d455,,LOCAL,c:\ProgramData\Anaconda3\lib\site-packages\ipykernel_launcher.py,Administrator,FINISHED,1.0,,,,,,,None,,False,,,True,,1,None,,,,,,100,,,,,,,auto,,None,,l2,,42,,newton-cg,,0.0001,,0,False,0.9084821428571429,0.8955357142857143,0.8844207092255326,0.25238384292727534,0.8859491357974996,0.8955357142857143,0.9068667491878782,0.8955357142857143,LogisticRegression,sklearn.linear_model._logistic.LogisticRegression
2022-11-23 22:55:52,15.7s,d5be030667e94fd096acd668efaf440d,,LOCAL,c:\ProgramData\Anaconda3\lib\site-packages\ipykernel_launcher.py,Administrator,FINISHED,1.0,,,,,,,None,,False,,,True,,1,None,,,,,,100,,,,,,,auto,,None,,l2,,42,,lbfgs,,0.0001,,0,False,0.9084821428571429,0.8955357142857143,0.8844207092255326,0.2523838651670329,0.8859491357974996,0.8955357142857143,0.9068557533411665,0.8955357142857143,LogisticRegression,sklearn.linear_model._logistic.LogisticRegression
2022-11-23 22:59:19,14.1s,075145632624496fa06db600c924ca62,,LOCAL,c:\ProgramData\Anaconda3\lib\site-packages\ipykernel_launcher.py,Administrator,FINISHED,1.0,,,,,,,None,,False,,,True,,1,None,,,,,,100,,,,,,,auto,,None,,l1,,42,,saga,,0.0001,,0,False,0.9040178571428571,0.8946428571428572,0.8840820474336936,0.2517171551048183,0.8847795167430995,0.8946428571428572,0.9072500329875401,0.8946428571428572,LogisticRegression,sklearn.linear_model._logistic.LogisticRegression
2022-11-23 22:58:59,14.1s,bfc3e72a70984e039ed0ab0cf78bf784,,LOCAL,c:\ProgramData\Anaconda3\lib\site-packages\ipykernel_launcher.py,Administrator,FINISHED,1.0,,,,,,,None,,False,,,True,,1,None,,,,,,100,,,,,,,auto,,None,,l1,,42,,liblinear,,0.0001,,0,False,0.9040178571428571,0.8950892857142857,0.8844666155236514,0.25202173783772325,0.8853466521341957,0.8950892857142857,0.9070301160533079,0.8950892857142857,LogisticRegression,sklearn.linear_model._logistic.LogisticRegression
2022-11-28 22:00:57,14.7s,02eb929c10c141f1bab11fe707445b98,,LOCAL,c:\ProgramData\Anaconda3\lib\site-packages\ipykernel_launcher.py,Administrator,FINISHED,,logistic,0.0001,auto,0.9,0.999,,,,,False,1e-08,,"(50, 50)",,,constant,0.0008,,,15000,300,,,,,,0.9,,10,,True,,0.5,5,True,adam,,0.0001,0.1,True,False,0.8973214285714286,0.8978794642857143,0.8912110641083715,0.2470296169983111,0.8897120731516291,0.8978794642857143,0.9119322158776939,0.8978794642857143,MLPClassifier,sklearn.neural_network._multilayer_perceptron.MLPClassifier
2022-11-28 21:55:09,16.1s,7024e70ffb3b4c4087f42db818a94112,,LOCAL,c:\ProgramData\Anaconda3\lib\site-packages\ipykernel_launcher.py,Administrator,FINISHED,,logistic,0.0001,auto,0.9,0.999,,,,,False,1e-08,,50,,,constant,0.001,,,15000,200,,,,,,0.9,,10,,True,,0.5,5,True,adam,,0.0001,0.1,True,False,0.8973214285714286,0.8917410714285714,0.8784032265477577,0.2598423096839061,0.8811997408381179,0.8917410714285714,0.9013642782587339,0.8917410714285714,MLPClassifier,sklearn.neural_network._multilayer_perceptron.MLPClassifier
